year,team_raw,jersey,name,position,position_group,born,age_at_tournament,club_name,club_country,caps_at_start,national_goals_at_start
1930,Brazil,,Oscarino,MF,MF,1907-01-17,23.0,Ypiranga-RJ,Brazil,,
1930,Brazil,,Pamplona,MF,MF,1904-03-24,26.0,Botafogo,Brazil,,
1930,Brazil,,Poly,FW,FW,1907-12-21,22.0,Americano (RJ),Brazil,,
1930,Brazil,,Preguinho,FW,FW,1905-02-08,25.0,Fluminense,Brazil,,
1930,Brazil,,Russinho,FW,FW,1902-12-18,27.0,Vasco da Gama,Brazil,,
1930,Brazil,,Teóphilo,FW,FW,1900-04-11,30.0,São Cristóvão,Brazil,,
1930,Brazil,,Velloso,GK,GK,1908-09-25,21.0,Fluminense,Brazil,,
1930,Brazil,,Zé Luiz,DF,DF,1904-11-16,25.0,São Cristóvão,Brazil,,
1930,Chile,,Juan Aguilera,FW,FW,1903-10-23,26.0,Audax Italiano,Chile,,
1930,Chile,,Guillermo Arellano,FW,FW,1908-08-21,21.0,Colo-Colo,Chile,,
1930,Chile,,Ernesto Chaparro,DF,DF,1901-01-04,29.0,Colo-Colo,Chile,,
1930,Chile,,Arturo Coddou,MF,MF,1905-01-14,25.0,Lord Cochrane,Chile,,
1930,Chile,,Roberto Cortés,GK,GK,1905-02-02,25.0,Colo-Colo,Chile,,
1930,Chile,,Humberto Elgueta,MF,MF,1904-09-10,25.0,Naval,Chile,,
1930,Chile,,César Espinoza,GK,GK,1908-05-31,22.0,CD Santiago,Chile,,
1930,Chile,,Víctor Morales,DF,DF,1905-05-10,25.0,Colo-Colo,Chile,,
1930,Chile,,Horacio Muñoz,DF,DF,1896-05-18,34.0,Fernández Vial,Chile,,
1930,Chile,,Tomás Ojeda,FW,FW,1910-04-20,20.0,Boca Juniors Antofagasta,Chile,,
1930,Chile,,Ulises Poirier,DF,DF,1897-02-02,33.0,La Cruz,Chile,,
1930,Chile,,Guillermo Riveros,DF,DF,1902-02-10,28.0,La Cruz,Chile,,
1930,Chile,,Guillermo Saavedra,MF,MF,1903-11-05,26.0,Colo-Colo,Chile,,
1930,Chile,,Carlos Schneeberger,FW,FW,1902-06-21,28.0,Colo-Colo,Chile,,
1930,Chile,,Guillermo Subiabre,FW,FW,1903-02-25,27.0,Colo-Colo,Chile,,
1930,Chile,,Arturo Torres,MF,MF,1906-10-20,23.0,Colo-Colo,Chile,,
1930,Chile,,Casimiro Torres,MF,MF,1905-03-04,25.0,Everton,Chile,,
1930,Chile,,Carlos Vidal,FW,FW,1902-02-22,28.0,Federico Schwager,Chile,,
1930,Chile,,Eberardo Villalobos,FW,FW,1908-04-01,22.0,Rangers,Chile,,
1930,France,,Numa Andoire,DF,DF,1908-03-19,22.0,Antibes,France,,
1930,France,,Marcel Capelle,DF,DF,1904-02-23,26.0,RC Paris,France,,
1930,France,,Augustin Chantrel,MF,MF,1908-07-08,22.0,CASG Paris,France,,
1930,France,,Edmond Delfour,MF,MF,1907-11-01,22.0,RC Paris,France,,
1930,France,,Célestin Delmer,MF,MF,1907-02-15,23.0,Amiens,France,,
1930,France,,Marcel Langiller,FW,FW,1908-06-02,22.0,Excelsior Roubaix,France,,
1930,France,,Jean Laurent,DF,DF,1906-12-30,23.0,Sochaux,France,,
1930,France,,Lucien Laurent,FW,FW,1907-12-10,22.0,Sochaux,France,,
1930,France,,Ernest Libérati,FW,FW,1908-03-22,22.0,Amiens,France,,
1930,France,,André Maschinot,FW,FW,1903-06-28,27.0,Sochaux,France,,
1930,France,,Étienne Mattler,DF,DF,1905-12-25,24.0,Sochaux,France,,
1930,France,,Marcel Pinel,MF,MF,1908-07-08,22.0,Red Star,France,,
1930,France,,André Tassin,GK,GK,1902-02-23,28.0,RC Paris,France,,
1930,France,,Alex Thépot,GK,GK,1906-07-30,23.0,Red Star,France,,
1930,France,,Émile Veinante,FW,FW,1907-06-12,23.0,RC Paris,France,,
1930,France,,Alexandre Villaplane,MF,MF,1904-12-24,25.0,RC Paris,France,,
1930,Mexico,,Efraín Amézcua,MF,MF,1907-08-03,22.0,Atlante,Mexico,,
1930,Mexico,,Óscar Bonfiglio,GK,GK,1905-10-05,24.0,Marte,Mexico,,
1930,Mexico,,Juan Carreño,FW,FW,1907-08-14,22.0,Atlante,Mexico,,
1930,Mexico,,Jesús Castro,FW,FW,1908-10-16,21.0,Deportivo México,Mexico,,
1930,Mexico,,Rafael Garza Gutiérrez,DF,DF,1896-12-13,33.0,Club América,Mexico,,
1930,Mexico,,Francisco Garza Gutiérrez,DF,DF,1904-03-14,26.0,Club América,Mexico,,
1930,Mexico,,Roberto Gayón,FW,FW,1905-01-01,25.0,Club América,Mexico,,
1930,Mexico,,Hilario López,FW,FW,1907-11-18,22.0,Marte,Mexico,,
1930,Mexico,,Dionisio Mejía,FW,FW,1907-01-06,23.0,Atlante,Mexico,,
1930,Mexico,,Felipe Olivares,FW,FW,1905-02-05,25.0,Atlante,Mexico,,
1930,Mexico,,Luis Pérez,FW,FW,1906-08-25,23.0,Necaxa,Mexico,,
1930,Mexico,,Raymundo Rodríguez,MF,MF,1905-04-15,25.0,Marte,Mexico,,
1930,Mexico,,Felipe Rosas,MF,MF,1910-02-05,20.0,Atlante,Mexico,,
1930,Mexico,,Manuel Rosas,DF,DF,1908-02-29,22.0,Atlante,Mexico,,
1930,Mexico,,José Ruíz,FW,FW,,,Necaxa,Mexico,,
1930,Mexico,,Alfredo Sánchez,MF,MF,1904-05-28,26.0,Club América,Mexico,,
1930,Mexico,,Isidoro Sota,GK,GK,1902-02-04,28.0,Club América,Mexico,,
1930,Paraguay,,Francisco Aguirre,MF,MF,1907-11-30,22.0,Olimpia,Paraguay,,
1930,Paraguay,,Pedro Benítez,GK,GK,1901-01-12,29.0,Libertad,Paraguay,,
1930,Paraguay,,Santiago Benítez,MF,MF,,,Olimpia,Paraguay,,
1930,Paraguay,,Delfín Benítez Cáceres,FW,FW,1910-09-24,19.0,Libertad,Paraguay,,
1930,Paraguay,,Saguier Carreras,FW,FW,,,Sportivo Luqueño,Paraguay,,
1930,Paraguay,,Eustacio Chamorro,DF,DF,,,Presidente Hayes,Paraguay,,
1930,Paraguay,,Modesto Denis,GK,GK,1898-06-15,32.0,Nacional,Paraguay,,
1930,Paraguay,,Eusebio Díaz,MF,MF,1898-06-21,32.0,Guaraní,Paraguay,,
1930,Paraguay,,Diógenes Domínguez,FW,FW,,,Sportivo Luqueño,Paraguay,,
1930,Paraguay,,Romildo Etcheverry,MF,MF,1906-11-15,23.0,Olimpia,Paraguay,,
1930,Paraguay,,Diego Florentín,MF,MF,,,River Plate,Paraguay,,
1930,Paraguay,,Salvador Flores,DF,DF,,,Cerro Porteño,Paraguay,,
1930,Paraguay,,Tranquilino Garcete,MF,MF,,,Libertad,Paraguay,,
1930,Paraguay,,Aurelio González,FW,FW,1905-09-25,24.0,Olimpia,Paraguay,,
1930,Paraguay,,José Miracca,DF,DF,1903-09-23,26.0,Nacional,Paraguay,,
1930,Paraguay,,Lino Nessi,FW,FW,1905-09-23,24.0,Libertad,Paraguay,,
1930,Paraguay,,Quiterio Olmedo,DF,DF,1901-05-22,29.0,Nacional,Paraguay,,
1930,Paraguay,,Amadeo Ortega,FW,FW,,,River Plate,Paraguay,,
1930,Paraguay,,Bernabé Rivera,FW,FW,,,Sportivo Luqueño,Paraguay,,
1930,Paraguay,,Gerardo Romero,FW,FW,,,Libertad,Paraguay,,
1930,Paraguay,,Luis Vargas Peña,FW,FW,1905-04-23,25.0,Olimpia,Paraguay,,
1930,Paraguay,,Jacinto Villalba,FW,FW,1914-09-19,15.0,Cerro Porteño,Paraguay,,
1930,Peru,,Eduardo Astengo,MF,MF,1909-06-26,21.0,Universitario de Deportes,Peru,,
1930,Peru,,Carlos Cillóniz,MF,MF,1910-07-01,20.0,Universitario de Deportes,Peru,,
1930,Peru,,Mario de las Casas,DF,DF,1901-01-31,29.0,Lawn Tennis,Peru,,
1930,Peru,,Alberto Denegri,MF,MF,1906-08-07,23.0,Universitario de Deportes,Peru,,
1930,Peru,,Arturo Fernández,DF,DF,1910-02-03,20.0,Universitario de Deportes,Peru,,
1930,Peru,,Plácido Galindo,MF,MF,1906-03-09,24.0,Universitario de Deportes,Peru,,
1930,Peru,,Domingo García,MF,MF,1904-11-30,25.0,Alianza Lima,Peru,,
1930,Peru,,José María Lavalle,FW,FW,1911-06-05,19.0,Alianza Lima,Peru,,
1930,Peru,,Julio Lores,FW,FW,1908-09-15,21.0,Necaxa,Mexico,,
1930,Peru,,Antonio Maquilón,DF,DF,1902-11-29,27.0,Tarapacá Ferroviario,Peru,,
1930,Peru,,Demetrio Neyra,FW,FW,1908-12-15,21.0,Alianza Lima,Peru,,
1930,Peru,,Pablo Pacheco,FW,FW,1908-06-22,22.0,Universitario de Deportes,Peru,,
1930,Peru,,Jorge Pardon,GK,GK,1905-03-04,25.0,Sporting Tabaco,Peru,,
1930,Peru,,Julio Quintana,MF,MF,1904-07-13,26.0,Alianza Lima,Peru,,
1930,Peru,,Lizardo Rodríguez Nue,FW,FW,1910-08-30,19.0,Sport Progreso,Peru,,
1930,Peru,,Jorge Sarmiento,FW,FW,1900-11-02,29.0,Alianza Lima,Peru,,
1930,Peru,,Alberto Soria,DF,DF,1906-03-10,24.0,Alianza Lima,Peru,,
1930,Peru,,Luis de Souza Ferreira,FW,FW,1908-10-06,21.0,Universitario de Deportes,Peru,,
1930,Peru,,Juan Valdivieso,GK,GK,1910-05-06,20.0,Alianza Lima,Peru,,
1930,Peru,,Alejandro Villanueva,FW,FW,1908-06-04,22.0,Alianza Lima,Peru,,
1930,Romania,,Ștefan Barbu,FW,FW,1908-03-02,22.0,Gloria Arad,Romania,,
1930,Romania,,Rudolf Bürger,DF,DF,1908-10-31,21.0,Chinezul Timișoara,Romania,,
1930,Romania,,Iosif Czako,DF,DF,1906-06-11,24.0,Banatul Timișoara,Romania,,
1930,Romania,,Adalbert Deșu,FW,FW,1909-03-24,21.0,Banatul Timișoara,Romania,,
1930,Romania,,Alfred Eisenbeisser,MF,MF,1908-04-07,22.0,Dragoș Vodă Cernăuți,Romania,,
1930,Romania,,Nicolae Kovács,FW,FW,1911-12-29,18.0,Banatul Timișoara,Romania,,
1930,Romania,,Ion Lăpușneanu,GK,GK,1908-12-08,21.0,Sportul Studențesc,Romania,,
1930,Romania,,László Raffinsky,MF,MF,1905-04-23,25.0,Juventus București,Romania,,
1930,Romania,,Corneliu Robe,MF,MF,1908-05-23,22.0,Olympia București,Romania,,
1930,Romania,,Constantin Stanciu,FW,FW,1907-09-24,22.0,Venus București,Romania,,
1930,Romania,,Adalbert Steiner,DF,DF,1907-01-24,23.0,CA Timișoara,Romania,,
1930,Romania,,Ilie Subășeanu,FW,FW,1906-06-06,24.0,Olympia București,Romania,,
1930,Romania,,Emerich Vogl,DF,DF,1905-08-12,24.0,Juventus București,Romania,,
1930,Romania,,Rudolf Wetzer,FW,FW,1901-03-17,29.0,Juventus București,Romania,,
1930,Romania,,Samuel Zauber,GK,GK,1901-01-09,29.0,Maccabi București,Romania,,
1930,United States,,Andy Auld,MF,MF,1900-04-30,30.0,Providence Clamdiggers,United States,,
1930,United States,,Mike Bookie,FW,FW,1904-09-12,25.0,Cleveland Slavia,United States,,
1930,United States,,Jim Brown,FW,FW,1908-12-31,21.0,New York Giants,United States,,
1930,United States,,Jimmy Douglas,GK,GK,1898-01-12,32.0,New York Nationals,United States,,
1930,United States,,Tom Florie,FW,FW,1897-09-06,32.0,New Bedford Whalers,United States,,
1930,United States,,Jimmy Gallagher,MF,MF,1901-06-07,29.0,New York Nationals,United States,,
1930,United States,,James Gentle,FW,FW,1904-07-21,25.0,Philadelphia Field Club,United States,,
1930,United States,,Billy Gonsalves,FW,FW,1908-08-10,21.0,Fall River Marksmen,United States,,
1930,United States,,Bart McGhee,FW,FW,1899-04-30,31.0,New York Nationals,United States,,
1930,United States,,George Moorhouse,DF,DF,1901-04-04,29.0,New York Giants,United States,,
1930,United States,,Arnie Oliver,FW,FW,1907-05-22,23.0,Lusitania Recreation,United States,,
1930,United States,,Bert Patenaude,FW,FW,1909-11-04,20.0,Fall River Marksmen,United States,,
1930,United States,,Philip Slone,MF,MF,1907-01-20,23.0,New York Giants,United States,,
1930,United States,,Raphael Tracey,MF,MF,1904-02-06,26.0,Ben Millers,United States,,
1930,United States,,Frank Vaughn,DF,DF,1902-02-18,28.0,Ben Millers,United States,,
1930,United States,,Alexander Wood,DF,DF,1907-06-12,23.0,Detroit Holley Carburetor,United States,,
1930,Uruguay,,José Leandro Andrade,MF,MF,1901-11-22,28.0,Nacional,Uruguay,,
1930,Uruguay,,Peregrino Anselmo,FW,FW,1902-04-30,28.0,Peñarol,Uruguay,,
1930,Uruguay,,Enrique Ballestrero,GK,GK,1905-01-18,25.0,Rampla Juniors,Uruguay,,
1930,Uruguay,,Juan Carlos Calvo,FW,FW,1906-06-26,24.0,Miramar Misiones,Uruguay,,
1930,Uruguay,,Miguel Capuccini,GK,GK,1904-01-05,26.0,Peñarol,Uruguay,,
1930,Uruguay,,Héctor Castro,FW,FW,1904-11-29,25.0,Nacional,Uruguay,,
1930,Uruguay,,Pedro Cea,FW,FW,1900-09-01,29.0,Nacional,Uruguay,,
1930,Uruguay,,Pablo Dorado,FW,FW,1908-06-22,22.0,Bella Vista,Uruguay,,
1930,Uruguay,,Lorenzo Fernández,MF,MF,1900-05-20,30.0,Peñarol,Uruguay,,
1930,Uruguay,,Álvaro Gestido,MF,MF,1907-05-17,23.0,Peñarol,Uruguay,,
1930,Uruguay,,Santos Iriarte,FW,FW,1902-11-02,27.0,Racing Club,Uruguay,,
1930,Uruguay,,Ernesto Mascheroni,DF,DF,1907-11-21,22.0,Olimpia,Uruguay,,
1930,Uruguay,,Ángel Melogno,MF,MF,1905-03-22,25.0,Bella Vista,Uruguay,,
1930,Uruguay,,José Nasazzi,DF,DF,1901-03-24,29.0,Bella Vista,Uruguay,,
1930,Uruguay,,Pedro Petrone,FW,FW,1905-05-11,25.0,Nacional,Uruguay,,
1930,Uruguay,,Conduelo Píriz,MF,MF,1905-06-17,25.0,Nacional,Uruguay,,
1930,Uruguay,,Emilio Recoba,DF,DF,1904-11-03,25.0,Nacional,Uruguay,,
1930,Uruguay,,Carlos Riolfo,MF,MF,1905-11-05,24.0,Peñarol,Uruguay,,
1930,Uruguay,,Zoilo Saldombide,FW,FW,1903-10-26,26.0,Nacional,Uruguay,,
1930,Uruguay,,Héctor Scarone,FW,FW,1898-11-26,31.0,Nacional,Uruguay,,
1930,Uruguay,,Domingo Tejera,DF,DF,1899-07-22,30.0,Montevideo Wanderers,Uruguay,,
1930,Uruguay,,Santos Urdinarán,FW,FW,1900-03-30,30.0,Nacional,Uruguay,,
1930,Yugoslavia,,Milorad Arsenijević,MF,MF,1906-06-06,24.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Ivan Bek,FW,FW,1909-10-29,20.0,Sète,France,,
1930,Yugoslavia,,Momčilo Đokić,MF,MF,1911-02-27,19.0,SK Jugoslavija,Yugoslavia,,
1930,Yugoslavia,,Branislav Hrnjiček,MF,MF,1908-06-05,22.0,SK Jugoslavija,Yugoslavia,,
1930,Yugoslavia,,Milutin Ivković,DF,DF,1906-03-03,24.0,SK Soko,Yugoslavia,,
1930,Yugoslavia,,Milovan Jakšić,GK,GK,1909-09-21,20.0,SK Soko,Yugoslavia,,
1930,Yugoslavia,,Blagoje Marjanović,FW,FW,1907-09-09,22.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Božidar Marković,FW,FW,1910-01-19,20.0,SK Vojvodina,Yugoslavia,,
1930,Yugoslavia,,Dragoslav Mihajlović,DF,DF,1906-12-13,23.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Dragutin Najdanović,FW,FW,1908-04-15,22.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Branislav Sekulić,FW,FW,1906-10-29,23.0,Club Français,France,,
1930,Yugoslavia,,Teofilo Spasojević,MF,MF,1909-01-21,21.0,SK Jugoslavija,Yugoslavia,,
1930,Yugoslavia,,Ljubiša Stefanović,MF,MF,1910-01-04,20.0,Sète,France,,
1930,Yugoslavia,,Milan Stojanović,GK,GK,1911-12-28,18.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Aleksandar Tirnanić,FW,FW,1910-07-15,19.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Dragomir Tošić,DF,DF,1909-11-08,20.0,BSK Beograd,Yugoslavia,,
1930,Yugoslavia,,Đorđe Vujadinović,FW,FW,1909-11-29,20.0,BSK Beograd,Yugoslavia,,
1934,Argentina,,Ernesto Albarracín,MF,MF,1907-09-25,26.0,Sportivo Buenos Aires,Argentina,,
1934,Argentina,,Ramón Astudillo,DF,DF,,,Colón de Santa Fe,Argentina,,
1934,Argentina,,Ernesto Belis,DF,DF,1909-02-01,25.0,Defensores de Belgrano,Argentina,,
1934,Argentina,,Enrique Chimento,DF,DF,,,Barracas Central,Argentina,,
1934,Argentina,,Alfredo Devincenzi,FW,FW,1911-01-24,23.0,Estudiantil Porteño,Argentina,,
1934,Argentina,,Héctor Freschi,GK,GK,1911-05-22,23.0,Sarmiento,Argentina,,
1934,Argentina,,Alberto Galateo,FW,FW,1912-03-04,22.0,Unión de Santa Fe,Argentina,,
1934,Argentina,,Ángel Grippa,GK,GK,1914-03-02,20.0,Sportivo Alsina,Argentina,,
1934,Argentina,,Roberto Irañeta,FW,FW,1915-03-21,19.0,Gimnasia y Esgrima de Mendoza,Argentina,,
1934,Argentina,,Luis Izzeta,FW,FW,,,Defensores de Belgrano,Argentina,,
1934,Argentina,,Arcadio López,MF,MF,1910-09-15,23.0,Sportivo Buenos Aires,Argentina,,
1934,Argentina,,Alfonso Lorenzo,MF,MF,,,Barracas Central,Argentina,,
1934,Argentina,,José Nehin,MF,MF,1905-10-13,28.0,Sportivo Desamparados,Argentina,,
1934,Argentina,,Juan Pedevilla,DF,DF,1909-06-06,24.0,Estudiantil Porteño,Argentina,,
1934,Argentina,,Francisco Pérez,FW,FW,,,Almagro,Argentina,,
1934,Argentina,,Francisco Rúa,FW,FW,1911-02-04,23.0,Sportivo Dock Sud,Argentina,,
1934,Argentina,,Constantino Urbieta Sosa,MF,MF,1907-08-12,26.0,Godoy Cruz,Argentina,,
1934,Argentina,,Federico Wilde,FW,FW,,,Unión de Santa Fe,Argentina,,
1934,Austria,,Josef Bican,FW,FW,1913-09-25,20.0,Rapid Wien,Austria,,
1934,Austria,,Georg Braun,FW,FW,1907-02-22,27.0,Wiener AC,Austria,,
1934,Austria,,Franz Cisar,DF,DF,1908-11-28,25.0,Wiener AC,Austria,,
1934,Austria,,Friederich Franzl,GK,GK,1905-03-06,29.0,Wiener SC,Austria,,
1934,Austria,,Josef Hassmann,FW,FW,1910-05-21,24.0,First Vienna,Austria,,
1934,Austria,,Leopold Hofmann,MF,MF,1905-10-31,28.0,First Vienna,Austria,,
1934,Austria,,Johann Horvath,FW,FW,1903-05-20,31.0,First Vienna,Austria,,
1934,Austria,,Anton Janda,DF,DF,1904-05-01,30.0,Admira Wien,Austria,,
1934,Austria,,Matthias Kaburek,FW,FW,1911-02-09,23.0,Rapid Wien,Austria,,
1934,Austria,,Peter Platzer,GK,GK,1910-05-29,23.0,Admira Wien,Austria,,
1934,Austria,,Rudolf Raftl,GK,GK,1911-02-07,23.0,Rapid Wien,Austria,,
1934,Austria,,Anton Schall,FW,FW,1907-06-22,26.0,Admira Wien,Austria,,
1934,Austria,,Willibald Schmaus,DF,DF,1911-06-16,22.0,First Vienna,Austria,,
1934,Austria,,Karl Sesta,DF,DF,1906-03-18,28.0,Wiener AC,Austria,,
1934,Austria,,Matthias Sindelar,FW,FW,1903-02-10,31.0,Austria Wien,Austria,,
1934,Austria,,Josef Smistik,MF,MF,1905-11-28,28.0,Rapid Wien,Austria,,
1934,Austria,,Josef Stroh,FW,FW,1913-03-05,21.0,Austria Wien,Austria,,
1934,Austria,,Johann Urbanek,MF,MF,1910-10-10,23.0,Admira Wien,Austria,,
1934,Austria,,Rudolf Viertl,FW,FW,1902-11-12,31.0,Austria Wien,Austria,,
1934,Austria,,Franz Wagner,MF,MF,1911-09-23,22.0,Rapid Wien,Austria,,
1934,Austria,,Hans Walzhofer,FW,FW,1906-03-23,28.0,Wacker Wien,Austria,,
1934,Austria,,Karl Zischek,FW,FW,1910-08-28,23.0,Wacker Wien,Austria,,
1934,Belgium,,Arnold Badjou,GK,GK,1909-06-26,24.0,Royal Daring Club Molenbeek,Belgium,,
1934,Belgium,,Désiré Bourgeois,MF,MF,1908-12-13,25.0,Royal FC Malinois,Belgium,,
1934,Belgium,,Jean Brichaut,FW,FW,1911-07-29,22.0,Standard Liège,Belgium,,
1934,Belgium,,Jean Capelle,FW,FW,1913-10-26,20.0,Standard Liège,Belgium,,
