team,fifa_rank,fifa_points,elo_rank,elo_rating,rating_date,source,last_updated
Zambia,91,1255.821846,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
China PR,92,1254.848285,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bahrain,93,1254.406799,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Thailand,94,1250.763879,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Palestine,95,1244.216499,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Belarus,96,1241.324607,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Guatemala,97,1238.74375,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Luxembourg,98,1232.81815,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Vietnam,99,1225.67943,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Tajikistan,100,1225.518979,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
El Salvador,101,1225.344607,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Mozambique,102,1224.311107,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Trinidad and Tobago,103,1221.951833,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Madagascar,104,1202.689766,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Equatorial Guinea,105,1195.197081,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Kyrgyz Republic,106,1191.655395,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Armenia,107,1191.334973,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Comoros,108,1187.9109,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Kenya,109,1185.076631,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Kazakhstan,110,1183.038315,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Libya,111,1182.081264,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Niger,112,1180.416678,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Tanzania,113,1180.267847,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Lebanon,114,1172.215162,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Mauritania,115,1171.596379,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
The Gambia,116,1159.637808,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Sudan,117,1157.223901,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Sierra Leone,118,1153.309176,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Indonesia,119,1151.448115,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Korea DPR,120,1151.052136,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Namibia,121,1148.839695,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Togo,122,1146.703618,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cyprus,123,1133.247165,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Suriname,124,1132.425895,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Faroe Islands,125,1131.984479,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Azerbaijan,126,1130.263211,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Rwanda,127,1126.622275,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Estonia,128,1126.256951,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Malawi,129,1122.488082,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Zimbabwe,130,1119.77695,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Nicaragua,131,1114.634184,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Guinea-Bissau,132,1108.381553,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Kuwait,133,1106.474587,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Congo,134,1105.964661,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Philippines,135,1096.72639,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Latvia,136,1090.261315,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Malaysia,137,1086.218087,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Central African Republic,138,1084.180103,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
India,139,1083.601894,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Turkmenistan,140,1078.652346,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Burundi,141,1078.009468,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Ethiopia,142,1077.086308,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Dominican Republic,143,1076.498501,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Liberia,144,1074.686684,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Yemen,145,1065.236881,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Lesotho,146,1064.285838,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Botswana,147,1063.631368,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Lithuania,148,1061.22966,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Singapore,149,1057.950212,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Guyana,150,1049.320241,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
New Caledonia,151,1036.952253,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
St Kitts and Nevis,152,1036.334924,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Solomon Islands,153,1031.894156,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
"Hong Kong, China",154,1030.240953,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Fiji,155,1024.384218,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Puerto Rico,156,1024.297312,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Tahiti,157,1019.036032,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Myanmar,158,1015.138408,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Moldova,159,1006.537824,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Vanuatu,160,1002.318941,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Malta,161,992.793497,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Antigua and Barbuda,162,986.584414,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Grenada,163,981.823973,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cuba,164,981.423455,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Eswatini,165,979.013939,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
St Lucia,166,976.708996,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bermuda,167,975.053746,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Papua New Guinea,168,974.9011,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Afghanistan,169,971.202635,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
South Sudan,170,970.944527,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
St Vincent and the Grenadines,171,968.269638,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Andorra,172,946.429826,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Maldives,173,943.917901,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Chinese Taipei,174,923.782643,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Montserrat,175,916.75251,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cambodia,176,916.241304,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Nepal,177,914.541224,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Mauritius,178,911.487501,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Barbados,179,909.893208,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Belize,180,907.001211,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bangladesh,181,902.92965,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Dominica,182,897.686437,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Chad,183,896.852819,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Eritrea,184,887.063341,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Laos,185,885.028891,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cook Islands,186,877.534995,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Samoa,187,876.407812,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bhutan,188,875.845061,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Aruba,189,875.61115,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Mongolia,190,874.469074,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Sri Lanka,191,871.820215,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
American Samoa,192,871.612081,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Brunei Darussalam,193,863.09176,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Macau,194,858.03342,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
São Tomé and Príncipe,195,855.438666,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Djibouti,196,853.581786,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cayman Islands,197,850.061011,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Somalia,198,839.169697,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Pakistan,199,837.151593,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Tonga,200,835.64241,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Timor-Leste,201,825.639984,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Gibraltar,202,820.260818,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Guam,203,819.540575,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Seychelles,204,804.161509,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Turks and Caicos Islands,205,803.980015,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Liechtenstein,206,797.701009,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bahamas,207,786.816217,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
US Virgin Islands,208,779.764266,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
British Virgin Islands,209,777.405734,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Anguilla,210,760.251852,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
San Marino,211,722.933728,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
